stage_id,name,description,priority,depends_on,status,verified,commit,notes,phase
S15,Portfolio optimiser,"Bin-pack flows onto shared hosts subject to blast radius, deploy cadence, scaling profile, security boundary, SLA tier; emit the shared landing zone once; savings waterfall attribution; hybrid-estate TCO including retained BizTalk licence, VMs and support for tier 4-5 flows",P0,"S13,S14",todo,no,,"Usually saves more than all per-flow decisions combined. Hybrid TCO is a named output, not a caveat - ADR-0008",Assessment
S16,Architecture Design engine,"Engine 3: as-is, proposed and landing-zone diagrams rendered from the graph via C4/Structurizr to Mermaid, plus draw.io XML with Azure icons; per-flow sequence diagrams from the action DAG; ADR generation",P1,"S07,S15",todo,no,,"Topology derived from graph, never generated. LLM writes labels and narrative only",Assessment
S17,Assessment report + traceability,"Engine 8 v1: assessment pack (inventory, disposition, placement with priced curves, diagrams, portfolio TCO vs BizTalk baseline); traceability matrix; runs continuously off the artefact store",P1,"S15,S16",todo,no,,"P1 EXIT GATE: an independent architect must agree with the conclusions for 3 real apps",Assessment
S18,Emitter framework,"Task/Step architecture with SPI-style registration (pattern from mule-migration-assistant); machine-readable gap report; template-first, LLM only for the tail",P0,S15,todo,no,,"Any design assuming a single emitter is wrong - ADR-0002",Conversion
S19,Logic Apps Standard emitter,"workflow.json and connections.json, stateful and stateless variants; .NET Framework 4.7.2 local functions for lifted assemblies incl. calls from XSLT maps; project scaffolding; stateless-by-default where the IR proves no waits and no run-history need",P0,S18,todo,no,,"SCOPE PENDING ADR-0006: may become 'wrap upstream converter' instead of building our own. Mine BizTalkMigrationStarter ODXtoWFMigrator and the upstream dotnet-local-functions skill",Conversion
S20,Functions + Durable emitter,"C# Function project, Flex Consumption config, bindings; isolated worker on .NET Framework 4.8 for lifted legacy assemblies; Durable orchestrations and entities for convoy/aggregator archetypes",P0,S18,todo,no,,"The cheap target for high-volume and enterprise-connector flows. Isolated worker gives process isolation for 2010-era dependency closures",Conversion
S39,Legacy encapsulation emitter,"Portability tier 3 and 4 targets: Windows container on Container Apps or AKS Windows node pool for COM/32-bit/P-Invoke components; on-prem exposure via Logic Apps Hybrid, on-premises data gateway or self-hosted API for tier 4",P1,"S18,S38",todo,no,,"Tiers 3-4 of the portability ladder need their own templates, cost profiles and parity expectations - ADR-0008",Conversion
S21,Messaging + APIM emitter,"Service Bus topology (queues, topics, subscription rules, sessions, claim-check to Blob); Event Grid; API Management OpenAPI plus policy XML",P0,S18,todo,no,,"Routing as configuration - often zero compute",Conversion
S22,Transformation emitter,"Lift plain XSLT verbatim; .btm to Data Mapper .lml; Liquid where appropriate; extract scripting functoids to functions; database functoids to explicit lookup steps",P0,S18,todo,no,,"Verbatim XSLT lift is the cheapest win in the whole migration",Conversion
S23,Golden-pair harvester,"Extract real input/output message pairs from BizTalk tracking history and Mule logs; these are the specification and already exist; storage and indexing per flow AND per component, so source-less assemblies can be characterised before tiering",P0,S09,todo,no,,"No customer writes test cases. Component-level pairs make 'we lost the source in 2014' survivable - ADR-0008",Conversion
S24,Parity harness,"Engine 6: local replay via Functions Core Tools + Azurite + Docker; canonicalise (namespace prefixes, attribute and key order, whitespace, timestamps, generated GUIDs) then diff; per-flow parity score; promotion gate",P0,"S23,S19",todo,no,,"P1b EXIT GATE: a published per-flow parity number. This is the moat",Conversion
S25,Development engine,"Engine 5: environment-in-the-loop agent; branch and PR per flow; build and test in sandbox; failing case + expected + actual fed back as next iteration input; single-flow retry/refine",P0,"S19,S20,S21,S22,S24,S04",todo,no,,"Cannot promote its own output - the parity harness decides",Conversion
S26,MuleSoft parser,"Replace the upstream stub: flows, subflows, connector configs, error-handler hierarchies, property placeholders and environment configs, pom.xml, MUnit tests, DataWeave extraction",P1,S06,todo,no,,"Second source platform proves the IR is neutral, not BizTalk-shaped",MuleSoft
S27,DataWeave translation,"Treat as language translation with generated tests: harvest payload pairs, generate a test per pair, translate, iterate to green; fall back to an emitted C# function and record it in the gap list",P1,"S26,S24",todo,no,,"No prior art exists anywhere. Budget as research, not a feature",MuleSoft
S28,Case store + versioning,"Typed artefact store; every engine writes versioned artefacts with confidence score and gap list; replay from any stage; case fork (clone at 10x volume)",P0,S17,todo,no,,"ADR-0003. Engines never communicate through chat",SaaS
S29,Orchestrator + gates + audit,"Engine 9 on Durable Functions; case state machine; hard human gates at Placement, Plan and Deployment; audit timeline capturing approver, timestamp and override reason",P0,S28,todo,no,,"Override reasons feed back into the placement policy",SaaS
S30,Web UI shell,"Portfolio dashboard across all applications; the 8-node stage rail with badges, expanded active node showing sub-task in words, and six states where awaiting-input/approval are visually distinct from failed; SSE live state; resumability",P0,S29,todo,no,,"UI is a pure projection of the artefact store - no separate UI state",SaaS
S31,Web UI assessment screens,"Load project (GitHub app, upload, on-prem agent, tracking-DB connect); Analysis (inventory tree, dependency graph, editable disposition with traffic sparkline); Cost validation (volumetrics with measured|assumed tags, placement overrides, savings waterfall); Design document viewer with as-is/proposed toggle and export",P0,"S30,S17",todo,no,,"Cost validation is the screen that sells the product",SaaS
S32,Web UI delivery screens,"Development board per flow with agent activity stream; Verification parity dashboard with canonicalised message diff viewer; Deployment environment matrix, wave planner, IaC diff, shadow-run comparison, rollback",P1,"S30,S25",todo,no,,,SaaS
S33,Multi-tenancy + RBAC,"Tenant isolation, authentication, roles (architect, developer, approver, viewer), secret handling, VPC/on-prem deployment option for regulated customers",P0,S28,todo,no,,"Approval gates are meaningless without RBAC",SaaS
S34,Deployment engine,"Engine 7: Bicep or Terraform emission, CI/CD pipelines, wave rollout, shadow/parallel-run comparison, cutover checklist, rollback",P1,S25,todo,no,,,SaaS
S35,FinOps recalibration loop,"Ingest Azure Cost Management actuals and Application Insights telemetry post-wave; diff against estimate; recalibrate cost model coefficients; actual-vs-estimate reporting",P1,"S34,S13",todo,no,,"Turns a one-shot tool into recurring revenue. The one asset a later competitor cannot copy",SaaS
S36,MuleSoft target emitter,"Second non-Azure target, unlocking BizTalk to MuleSoft; proves the hub-and-spoke claim rather than asserting it",P2,"S18,S26",todo,no,,"Open question: genuine market or positioning claim? See docs/08-roadmap.md",Expansion
S37,Additional source parsers,"TIBCO BusinessWorks, Dell Boomi, IBM IIB/ACE; upstream already publishes IR examples for all three as templates",P2,S06,todo,no,,"P4 EXIT GATE: two targets and four sources through one unchanged IR",Expansion
S38,Portability scanner,"Scan every assembly for target framework, 32/64-bit, COM references, P/Invoke declarations, references to BizTalk runtime assemblies (IBaseMessage, ExplorerOM, context properties), MSMQ and MSDTC usage, GAC and strong-name dependencies, licensed third-party libraries; assign a portability tier 0-6 deterministically",P0,S03,todo,no,,"Reads .NET assemblies from a path, so not blocked by ingest or by S01. Deterministic analysis, not judgement. Feeds S10 disposition and S14 constraints - ADR-0008",Assessment
